,Name,Platform,Year_of_Release,Genre,Publisher,Developer,Rating
11819,Torchlight,PC,2009.0,Role-Playing,JoWood Productions,Runic Games,T
11820,Pac-Man World 3,PSP,2005.0,Platform,Namco Bandai Games,Blitz Games,E
11821,Rogue Trooper: Quartz Zone Massacre,Wii,2009.0,Shooter,Reef Entertainment,Rebellion,T
11822,Hero Bank,3DS,2014.0,Role-Playing,Sega,,
11823,Disney's Planes,3DS,2013.0,Simulation,Disney Interactive Studios,TOSE,E
11824,Winx Club,GBA,2005.0,Shooter,Konami Digital Entertainment,Rainbow Studios,E
11825,World Party Games,Wii,2009.0,Misc,505 Games,505 Games,E
11826,Classic Road,PS,1995.0,Sports,Victor Interactive,,
11827,Cartoon Network: Punch Time Explosion XL,X360,2011.0,Fighting,Crave Entertainment,,
11828,Utawarerumono: Itsuwari no Kamen,PSV,2015.0,Adventure,Aqua Plus,,
11829,Damage Inc.: Pacific Squadron WWII,X360,2012.0,Simulation,Mad Catz,Mad Catz,T
11830,My Fun Facts Coach,DS,2008.0,Misc,Ubisoft,Powerhead Games,E
11831,The Idolm@ster: Live for You!,X360,2008.0,Misc,Namco Bandai Games,,
11832,Tokimeki Memorial Girl's Side Premium: 3rd Story,PSP,2012.0,Adventure,Konami Digital Entertainment,,
11833,Smashing Drive,GC,,Racing,Unknown,Point of View,T
11834,Open Season,PSP,2006.0,Platform,Ubisoft,Ubisoft,E10+
11835,Mega Man Xtreme,GB,2000.0,Platform,Capcom,,
11836,America's Next Top Model,Wii,2010.0,Action,Crave Entertainment,Neopica,E10+
11837,Bomberman Max 2: Red Advance,GBA,2002.0,Puzzle,Vivendi Games,Hudson,E
11838,F.E.A.R. 2: Project Origin,PC,2009.0,Shooter,Warner Bros. Interactive Entertainment,Monolith Productions,M
11839,Margot's Word Brain,DS,2008.0,Puzzle,Zoo Games,Slam Games,E10+
11840,Toy Soldiers: War Chest,PS4,2015.0,Action,Ubisoft,Krome Studios,
11841,Godai: Elemental Force,PS2,2002.0,Action,3DO,3DO,T
11842,Chronicles of Mystery: The Secret Tree of Life,DS,2011.0,Adventure,City Interactive,City Interactive,E10+
11843,Still Life,XB,2005.0,Adventure,Microids,Microids,M
11844,Big Mutha Truckers 2,XB,2005.0,Racing,Empire Interactive,Eutechnyx,M
11845,Hang On GP,SAT,1995.0,Racing,Sega,,
11846,Uprising X,PS,1998.0,Action,3DO,,
11847,SpongeBob's Truth or Square,X360,2009.0,Action,THQ,Heavy Iron Studios,E
11848,Mega Man Xtreme 2,GB,2001.0,Platform,Capcom,,
11849,"Sesame Street: Ready, Set, Grover!",DS,2011.0,Misc,Warner Bros. Interactive Entertainment,,
11850,I-Ninja,XB,2003.0,Platform,Namco Bandai Games,Argonaut Games,T
11851,Sigma Harmonics,DS,2008.0,Role-Playing,Square Enix,,
11852,Gunblade NY & L.A. Machineguns Arcade Hits Pack,Wii,2010.0,Shooter,Sega,,
11853,The Lord of the Rings: The Battle for Middle-Earth,PC,2004.0,Strategy,Electronic Arts,EA LA,T
11854,Kessen III,PS2,2004.0,Strategy,Tecmo Koei,Koei,T
11855,Learn Geography,DS,2009.0,Misc,DreamCatcher Interactive,Trine Games,E
11856,Harlem Globetrotters: World Tour,DS,2006.0,Sports,Zoo Digital Publishing,Full Fat,E
11857,The King of Fighters Collection: The Orochi Saga,PSP,2008.0,Fighting,Ignition Entertainment,SNK Playmore,T
11858,Summon Night,DS,2008.0,Role-Playing,Banpresto,,
11859,Aero Elite: Combat Academy,PS2,2002.0,Simulation,Sega,Sega AM2,E
11860,"3 in 1: Solitaire, Mahjong & Tangram",DS,2010.0,Misc,Deep Silver,,
11861,Wrath Unleashed,PS2,2004.0,Strategy,LucasArts,Double Helix Games,T
11862,Beyond Good & Evil,GC,2003.0,Adventure,Ubisoft,,
11863,Divinity II: Ego Draconis,PC,2009.0,Role-Playing,DTP Entertainment,Larian Studios,M
11864,Pong / Asteroids / Yars' Revenge,GBA,2005.0,Misc,Zoo Digital Publishing,DSI Games,E
11865,Commandos 2: Men of Courage,XB,2002.0,Strategy,Eidos Interactive,Pyro Studios,T
11866,Emergency 2012,PC,2010.0,Simulation,Deep Silver,ValuSoft,T
11867,Winter Sports 2: The Next Challenge,X360,2008.0,Sports,RTL,49Games,E
11868,NOëL: La Neige,PS,1998.0,Adventure,Pioneer LDC,,
11869,Busou Shinki: Battle Masters,PSP,2010.0,Action,Konami Digital Entertainment,,
11870,Overlord: Minions,DS,2009.0,Puzzle,Codemasters,Climax Group,E10+
11871,Roll Away,PS,1998.0,Puzzle,Sony Computer Entertainment,,
11872,Derby Jockey: Kishou e no Michi,SNES,1994.0,Sports,Asmik Corp,,
11873,Fairy Fencer F: Advent Dark Force,PS4,2015.0,Role-Playing,Idea Factory International,Compile Heart,T
11874,Harukanaru Toki no Naka de 4,PS2,2008.0,Adventure,Tecmo Koei,,
11875,Roogoo Attack!,DS,2009.0,Puzzle,SouthPeak Games,SpiderMonk,E
11876,Maximum Chase,XB,2002.0,Racing,Microsoft Game Studios,Genki,T
11877,Prey the Stars,DS,2008.0,Action,Tecmo Koei,Koei Canada,E
11878,Winning Post 7 2012,PS3,2012.0,Sports,Ackkstudios,,
11879,Spot Goes to Hollywood,PS,1996.0,Platform,Virgin Interactive,,
11880,G Darius,PS,1997.0,Shooter,THQ,,
11881,Mucha Lucha! Mascaritas of the Lost Code,GBA,2003.0,Fighting,Ubisoft,,
11882,SD Gundam: Gashapon Wars,GC,2005.0,Strategy,Namco Bandai Games,,
11883,Alvin and the Chipmunks,PS2,2007.0,Misc,Brash Entertainment,Sensory Sweep,E
11884,Hearts of Iron III,PC,2009.0,Strategy,Paradox Interactive,Paradox Development Studio,E10+
11885,Picture Perfect Hair Salon,DS,2009.0,Simulation,505 Games,505 Games,E
11886,River King: Mystic Valley (US sales),DS,2007.0,Sports,Rising Star Games,,
11887,Kengo: Legend of The 9,X360,2006.0,Fighting,Majesco Entertainment,Genki,M
11888,Romance of the Three Kingdoms XI,PS2,2007.0,Strategy,Tecmo Koei,Koei,E10+
11889,Hammerin' Hero,PSP,2008.0,Action,Irem Software Engineering,Irem,E10+
11890,Model * Oshare Audition: Dream Girl,3DS,2013.0,Misc,Alchemist,,
11891,Lupin Sansei: Shijou Saidai no Zunousen,DS,2010.0,Adventure,Namco Bandai Games,,
11892,Dark Souls III,PC,2016.0,Role-Playing,Namco Bandai Games,From Software,M
11893,Petz Fantasy 3D,3DS,2011.0,Simulation,Ubisoft,Digital Kids,E
11894,WRC 2: FIA World Rally Championship,X360,2011.0,Racing,Ubisoft,,
11895,Archer Maclean's 3D Pool,GBA,2003.0,Misc,Crave Entertainment,,
11896,Tak: The Great Juju Challenge,XB,2005.0,Platform,THQ,Avalanche Software,E
11897,TMNT: Mutant Melee,GC,2005.0,Fighting,Konami Digital Entertainment,Konami Computer Entertainment Hawaii,T
11898,Combat: Task Force 121,XB,2005.0,Shooter,Zoo Digital Publishing,Direct Action Games,M
11899,Winning Eleven Playmaker 2010: Aoki Samurai no Chousen,Wii,2010.0,Sports,Konami Digital Entertainment,,
11900,Goosebumps HorrorLand,PS2,2008.0,Adventure,Scholastic Inc.,Gusto Games,E10+
11901,Exhibition Volume 4,XB,2003.0,Misc,Microsoft Game Studios,,
11902,Viewpoint,PS,1995.0,Shooter,Electronic Arts,,
11903,Code Geass: Hangyaku no Lelouch - Lost Colors,PSP,2008.0,Adventure,Namco Bandai Games,,
11904,Disney's Donald Duck Advance,GBA,2001.0,Platform,Ubisoft,,
11905,Stacked with Daniel Negreanu,PS2,2006.0,Misc,Myelin Media,5000ft,T
11906,Hakuouki: Yuugi Roku,PSP,2010.0,Adventure,Idea Factory,,
11907,The Rub Rabbits!,DS,2005.0,Puzzle,Sega,,
11908,Rapala Pro Bass Fishing 2010,PSP,2010.0,Sports,Activision,FUN Labs,E
11909,Let's Ride! Friends Forever,DS,2008.0,Adventure,THQ,,
11910,Circus Maximus: Chariot Wars,XB,2002.0,Racing,THQ,Kodiak Interactive,T
11911,Squishy Tank,DS,2010.0,Puzzle,Natsume,Natsume,E
11912,Dungeon Maker II: The Hidden War,PSP,2007.0,Role-Playing,Global A Entertainment,Global A,E10+
11913,Discovery Kids: Parrot Pals,DS,2009.0,Simulation,505 Games,505 Games,E
11914,Kenyuu Densetsu Yaiba,SNES,1994.0,Action,Banpresto,,
11915,Kidou Senshi Gundam: Giren no Yabou - Axis no Kyoui V,PS2,2009.0,Strategy,Namco Bandai Games,,
11916,Kidou Senshi Gundam: Giren no Yabou - Axis no Kyoui V,PSP,2009.0,Strategy,Namco Bandai Games,,
11917,Elements of Destruction,DS,2007.0,Strategy,THQ,Black Lantern Studios,E10+
11918,Serious Sam: Next Encounter,PS2,2004.0,Shooter,Global Star,Climax Group,M
11919,Eiken DS,DS,2007.0,Misc,Rocket Company,,
11920,Game Center CX: Arino no Chousenjou 2,DS,2009.0,Action,Namco Bandai Games,,
11921,Tom Clancy's Ghost Recon 2,GC,2005.0,Shooter,Ubisoft,Ubisoft Shanghai,T
11922,E.X. Troopers,3DS,2012.0,Shooter,Capcom,,
11923,The Croods: Prehistoric Party!,Wii,2013.0,Misc,D3Publisher,,
11924,J Legend Retsuden,3DS,2013.0,Misc,Namco Bandai Games,,
11925,SpongeBob's Truth or Square,PSP,2009.0,Action,THQ,Heavy Iron Studios,E
11926,Port Royale 3,PS3,,Simulation,Kalypso Media,Kalypso,T
11927,Monster Racers,DS,2009.0,Racing,Tecmo Koei,Koei,E
11928,The King of Fighters: Evolution,DC,2000.0,Fighting,SNK,,
11929,DS Uranai Seikatsu,DS,2009.0,Misc,Nintendo,,
11930,Hyperdimension Neptunia Re;Birth 3,PSV,2014.0,Action,Idea Factory International,,
11931,Pro Farm 1,PC,2011.0,Simulation,Excalibur Publishing,,
11932,Pitfall: The Lost Expedition,GBA,2003.0,Platform,Activision,Torus Games,E
11933,Rock Band Country Track Pack 2,PS3,2011.0,Misc,MTV Games,Electronic Arts,E10+
11934,Speed Zone,Wii,2009.0,Racing,Bethesda Softworks,Awesome Play Ltd.,E
11935,All-Star Baseball 2004,GBA,2003.0,Sports,Acclaim Entertainment,,
11936,Cho~ricchi! Tamagotchi no Puchi Puchi Omisecchi,3DS,2012.0,Action,Namco Bandai Games,,
11937,Jewel Time Deluxe,DS,2011.0,Puzzle,O-Games,Oxygen Interactive,E
11938,James Cameron's Dark Angel,XB,2002.0,Action,Vivendi Games,Radical Entertainment,T
11939,The Legend of Heroes: Trails in the Sky Third Chapter,PSP,2008.0,Role-Playing,Falcom Corporation,,
11940,Aqua Teen Hunger Force: Zombie Ninja Pro-Am,PS2,2007.0,Racing,Midway Games,Creat Studios,M
11941,Hannspree Ten Kate Honda: SBK Superbike World Championship,PS2,2007.0,Racing,Black Bean Games,,
11942,Generator Rex: Agent of Providence,PS3,2011.0,Action,Activision,Virtuos,E10+
11943,Alexi Lalas International Soccer,PS,1998.0,Sports,Take-Two Interactive,,
11944,Dream Trigger 3D,3DS,,Shooter,D3Publisher,"Art Co., Ltd.",E
11945,Monster Rancher Battle Card: Episode II,PS,2000.0,Action,Tecmo Koei,,
11946,NCAA College Football 2K3,GC,2002.0,Sports,Sega,Avalanche Software,E
11947,Karaoke Revolution Party,GC,2005.0,Misc,Konami Digital Entertainment,Harmonix Music Systems,E10+
11948,Crayola: Colorful Journey,Wii,2009.0,Misc,Crave Entertainment,StudioBlack Games,E
11949,Itoi Shigesato no Bass Tsuri No. 1 Ketteihan!,N64,2000.0,Sports,Nintendo,,
11950,Jumper: Griffin's Story,PS2,2008.0,Action,Eidos Interactive,Collision Studios,T
11951,Operation Darkness,X360,2007.0,Role-Playing,Success,Success,M
11952,Emily the Strange: Strangerous,DS,2011.0,Action,DTP Entertainment,exozet,E10+
11953,Famicom Mini: Nazo no Murasame-Jou,GBA,2004.0,Action,Nintendo,,
11954,Galerians: Ash,PS2,2002.0,Adventure,Sammy Corporation,Polygon Magic,T
11955,Dead Island: Riptide,PC,,Action,Deep Silver,Techland,M
11956,Jimmie Johnson's Anything With an Engine,Wii,2011.0,Racing,Konami Digital Entertainment,Isopod Labs,E10+
11957,R-Type Command,PSP,2007.0,Strategy,Rising Star Games,Irem,E10+
11958,Yoostar on MTV,X360,,Misc,Unknown,Yoostar Entertainment Group,T
11959,Just Dance: Disney Party 2,XOne,2015.0,Action,Ubisoft,Ubisoft,E
11960,Kane & Lynch 2: Dog Days,PC,2010.0,Shooter,Square Enix,,
11961,Haunting Ground,PS2,2005.0,Action,Capcom,Capcom,M
11962,Mahjong Fight Club DS: Wi-Fi Taiou,DS,2006.0,Misc,Konami Digital Entertainment,,
11963,"Hi! Hamtaro - Little Hamsters,big Adventures: Ham-Ham Challenge",DS,2005.0,Misc,505 Games,,
11964,Grand Kingdom,PS4,2015.0,Role-Playing,Nippon Ichi Software,Spike Chunsoft,T
11965,Robocalypse,DS,2008.0,Strategy,Tecmo Koei,Vogster,E10+
11966,Vampire Knight DS,DS,2009.0,Adventure,D3Publisher,,
11967,Disney Sports Skateboarding,GBA,2002.0,Sports,Konami Digital Entertainment,Konami,E
11968,Homie Rollerz,DS,2008.0,Racing,Destineer,Webfoot Technologies,E
11969,Let's Paint,Wii,2010.0,Simulation,Zoo Games,Zoo Games,E
11970,Rugby League 3,Wii,2010.0,Sports,Alternative Software,,
11971,Magi: The Labyrinth of Beginning,3DS,2013.0,Role-Playing,Namco Bandai Games,,
11972,Escape Dead Island,X360,2014.0,Action,Deep Silver,Fatshark AB,M
11973,Tom Clancy's Splinter Cell: Chaos Theory,DS,2005.0,Action,Ubisoft,Gameloft,T
11974,The Croods: Prehistoric Party!,DS,2013.0,Misc,D3Publisher,,
11975,I Don't Have Many Friends Portable,PSP,2012.0,Adventure,Namco Bandai Games,,
11976,SimCity 4: Deluxe Edition,PC,2003.0,Simulation,Electronic Arts,Maxis,E
11977,Jewel Link Chronicles: Legend of Athena,DS,2011.0,Puzzle,GSP,,
11978,CSI: Dark Motives,DS,2007.0,Adventure,Ubisoft,Powerhead Games,T
11979,Burnout Paradise: The Ultimate Box,PS3,2009.0,Racing,Electronic Arts,,
11980,Loons: The Fight For Fame,XB,2002.0,Action,Atari,,
11981,Romance of the Three Kingdoms IX,PS2,2003.0,Strategy,Tecmo Koei,Koei,E
11982,Second Sight,XB,2004.0,Adventure,Codemasters,Free Radical Design,T
11983,Metal Gear Solid,GB,2000.0,Action,Konami Digital Entertainment,,
11984,The Legend of Heroes: Trails in the Sky First Chapter,PSV,2015.0,Role-Playing,Kadokawa Shoten,,
11985,Totaled!,XB,2002.0,Racing,Rage Software,,
11986,Bleach: Heat the Soul 3,PSP,2006.0,Fighting,Sony Computer Entertainment,,
11987,Ecco: The Tides of Time,GEN,1993.0,Adventure,Sega,,
11988,Make 10: A Journey of Numbers,DS,2007.0,Puzzle,Nintendo,,
11989,Fantasy Aquarium by DS,DS,2008.0,Simulation,Mercury Games,,
11990,Rock Band Track Pack: Classic Rock,X360,2009.0,Misc,MTV Games,Harmonix Music Systems,T
11991,Operation Flashpoint: Red River,PC,2011.0,Shooter,Codemasters,Codemasters,M
11992,Machine Head,PS,1996.0,Shooter,Eidos Interactive,,
11993,Vanguard Bandits,PS,1998.0,Strategy,Human Entertainment,S-Neo,T
11994,MLB Front Office Manager,X360,2009.0,Sports,Take-Two Interactive,Blue Castle Games,E
11995,Lost Heroes,PSP,2012.0,Role-Playing,Namco Bandai Games,,
11996,Vampire Legends: Power of Three,DS,2010.0,Adventure,THQ,DTP Entertainment,E
11997,Child of Light,PSV,2014.0,Role-Playing,Ubisoft,Ubisoft Montreal,E10+
11998,The Legend of Heroes VII: The Trail of Zero,PSV,2012.0,Role-Playing,Falcom Corporation,,
11999,Shin Chan Contra ¡Los Plastas!,DS,2009.0,Platform,505 Games,,
12000,Haikyuu!! Tsunage! Itadaki no Keshiki!!,3DS,2014.0,Adventure,Namco Bandai Games,,
12001,Silent Hill: Origins,PS2,2008.0,Action,Konami Digital Entertainment,Climax Group,M
12002,Blast Radius,PS,1998.0,Action,Psygnosis,,
12003,ESPN National Hockey Night,PS2,2001.0,Sports,Konami Digital Entertainment,Kush Games,E
12004,Tornado,DS,,Action,Ignition Entertainment,Skonec,E
12005,Cut the Rope,3DS,2014.0,Puzzle,Activision,ZeptoLab,E
12006,Resident Evil: Revelations 2,X360,2015.0,Action,Capcom,Capcom,M
12007,Pro Yaky? Spirits 2011,3DS,2011.0,Sports,Konami Digital Entertainment,,
12008,Taz Wanted,XB,2002.0,Platform,Atari,Blitz Games,E
12009,Disaster: Day of Crisis,Wii,2008.0,Action,Nintendo,Monolith Soft,
12010,Shounen Sunday x Shounen Magazine: Nettou! Dream Nine,DS,2009.0,Sports,Konami Digital Entertainment,,
12011,Harry Potter and the Sorcerer's Stone,XB,2003.0,Action,Electronic Arts,Warthog,E
12012,McFarlane's Evil Prophecy,PS2,,Action,Konami Digital Entertainment,Konami,M
12013,IA/VT Colorful,PSV,2015.0,Misc,Marvelous Entertainment,,
12014,We Sing Rock!,Wii,2011.0,Misc,Nordic Games,,
12015,Wallace & Gromit in Project Zoo,GC,2003.0,Platform,BAM! Entertainment,,
12016,Shadowgate 64: Trials of the Four Towers,N64,1999.0,Adventure,Kemco,,
12017,Super Robot Spirits,N64,1998.0,Fighting,Banpresto,,
12018,Mia Hamm Soccer 64,N64,2000.0,Sports,THQ,,
12019,John Madden Football,SNES,1991.0,Sports,Imagineer,,
12020,Caesars Palace Advance: Millennium Gold Edition,GBA,2001.0,Misc,Majesco Entertainment,,
12021,Aero Gauge,N64,1997.0,Racing,ASCII Entertainment,,
12022,Battlezone: Rise of the Black Dogs,N64,2000.0,Strategy,Crave Entertainment,,
12023,Teenage Mutant Ninja Turtles: Tournament Fighters,NES,1992.0,Fighting,Konami Digital Entertainment,,
12024,Moxie Girlz,DS,2011.0,Misc,GameMill Entertainment,1st Playable Productions,E
12025,Damnation,X360,2009.0,Shooter,Codemasters,Blue Omega,M
12026,Samurai Warriors,XB,2004.0,Action,Tecmo Koei,Omega Force,T
12027,GunParade Orchestra: Shiro no Shou,PS2,2006.0,Adventure,Sony Computer Entertainment,,
12028,Rec Room Games,DS,2011.0,Sports,Destineer,Destineer,E
12029,Zettai Zetsumei Toshi 3: Kowareyuku Machi to Kanojyo no Uta,PSP,2009.0,Action,Irem Software Engineering,,
12030,FIFA Soccer 2004,GC,2003.0,Sports,Electronic Arts,EA Canada,E
12031,Super Robot Taisen OG Saga: Masou Kishin III - Pride of Justice,PS3,2013.0,Strategy,Namco Bandai Games,,
12032,Record of Agarest War,PS3,2007.0,Role-Playing,Ghostlight,Compile Heart,T
12033,SNK Arcade Classics Vol. 1,Wii,2008.0,Misc,Ignition Entertainment,SNK Playmore,T
12034,Dave Mirra BMX Challenge,PSP,2006.0,Sports,Oxygen Interactive,Left Field Productions,E
12035,Rayman 3: Hoodlum Havoc,GC,2003.0,Platform,Ubisoft,Ubisoft Shanghai,E
12036,Tony Hawk's Pro Skater 5,X360,2015.0,Sports,Activision,Robomodo,T
12037,Tales of Rebirth,PSP,2008.0,Role-Playing,Namco Bandai Games,,
12038,The Guy Game,XB,2004.0,Misc,Gathering of Developers,Top Heavy Studios,M
12039,Let's Ride! Dreamer,GBA,2005.0,Adventure,DTP Entertainment,,
12040,Fantasia: Music Evolved,X360,2014.0,Misc,Disney Interactive Studios,Harmonix Music Systems,E10+
12041,Tecmo's Deception,PS,1996.0,Role-Playing,Sunsoft,,
12042,Point Blank DS (JP sales),DS,2006.0,Shooter,Atari,,
12043,Ghost in the Shell: Stand Alone Complex,PSP,2005.0,Adventure,Atari,G-Artists,T
12044,G-Saviour,PS2,2000.0,Action,Sunrise Interactive,,
12045,Open Season,Wii,2006.0,Platform,Ubisoft,Ubisoft,E10+
12046,Gintama DS: Yorozuya Daisoudou,DS,2006.0,Action,Namco Bandai Games,,
12047,Drake of the 99 Dragons,XB,,Shooter,Unknown,Idol FX,T
12048,Dave Mirra BMX Challenge,Wii,2007.0,Sports,505 Games,Left Field Productions,E
12049,BlazBlue: Chrono Phantasma,PSV,2014.0,Fighting,Arc System Works,Arc System Works,T
12050,Crayon Shin-Chan: Obaka Daininden - Susume! Kasukabe Ninja Tai!,DS,2010.0,Action,Namco Bandai Games,,
12051,Crimson Sea 2,PS2,2004.0,Action,Tecmo Koei,Koei,T
12052,Tokyo Twilight Ghost Hunters,PSV,2014.0,Role-Playing,Aksys Games,TOYBOX,T
12053,Higurashi no Nakukoru ni Kizuna: Dai-Ichi-Kan - Tatari,DS,2008.0,Adventure,Alchemist,,
12054,Doraemon: Nobita to Himitsu Dougu Hakubutsukan,3DS,2013.0,Action,FuRyu,,
12055,Ragnarok: Hikari to Yami no Koujo,PSP,2011.0,Role-Playing,GungHo,,
12056,Saint Seiya: Brave Soldiers,PS3,2013.0,Fighting,Namco Bandai Games,Dimps Corporation,
12057,Earth Defense Force 2: Invaders from Planet Space,PSV,2014.0,Action,Xseed Games,Sandlot,T
12058,Digimon World Championship,DS,2008.0,Role-Playing,Namco Bandai Games,Epics,E
12059,AMF Bowling Pinbusters!,DS,2008.0,Sports,Vir2L Studios,,
12060,RayStorm,PS,1997.0,Shooter,Sony Computer Entertainment,Taito Corporation,E
12061,Disney's Winnie the Pooh's Rumbly Tumbly Adventure,GC,2005.0,Platform,Ubisoft,,
12062,Dynasty Warriors 8: Empires,XOne,2014.0,Action,Tecmo Koei,Koei Tecmo Games,T
12063,Trick DS-han: Kakushi Kami no Sumukan,DS,2010.0,Misc,Konami Digital Entertainment,,
12064,Circuit Breakers,PS,1998.0,Racing,Mindscape,,
12065,Winter Sports 2011,Wii,2011.0,Sports,DTP Entertainment,DTP Entertainment,
12066,futureU: The Prep Game for SAT,DS,2008.0,Misc,Aspyr,Aspyr,E
12067,Catwoman,GC,2004.0,Action,Electronic Arts,Argonaut Games,T
12068,Colosseum: Road to Freedom,PS2,2005.0,Role-Playing,Tecmo Koei,Goshow,M
12069,Tank! Tank! Tank!,WiiU,2012.0,Action,Namco Bandai Games,,
12070,Football Manager 2010,PC,2009.0,Sports,Sega,Sports Interactive,E
12071,Target: Terror,Wii,2008.0,Shooter,Konami Digital Entertainment,Leviathan Games,M
12072,Mugen Souls Z,PS3,2013.0,Role-Playing,Nippon Ichi Software,Compile Heart,T
12073,BeatMania,PS2,2006.0,Simulation,Konami Digital Entertainment,Konami,E10+
12074,Sprint Cars: Road to Knoxville,PS2,2005.0,Racing,THQ,Big Ant Studios,E
12075,Guilty Gear Xrd -Revelator-,PS3,2016.0,Fighting,PQube,,
12076,Crayon Shin-Chan: Densetsu o Yobu Omake no To Shukkugaan!,GBA,2006.0,Action,Banpresto,,
12077,Shrek's Carnival Craze Party Games,PS2,2008.0,Misc,Activision,,
12078,Dream Dance & Cheer,Wii,2009.0,Misc,Zoo Games,,
12079,Silpheed: The Lost Planet,PS2,2000.0,Shooter,Swing! Entertainment,Treasure,T
12080,Billy's Boot Camp: Wii de Enjoy Diet!,Wii,2011.0,Sports,Rocket Company,,
12081,Real Time Conflict: Shogun Empires,DS,2005.0,Strategy,Namco Bandai Games,Box Clever Interactive,E10+
12082,Spartan: Total Warrior,GC,2005.0,Action,Sega,Creative Assembly,M
12083,Pitfall: The Lost Expedition,XB,2004.0,Platform,Activision,Edge of Reality,E
12084,Hoppechan: Minna de Odekake! Waku Waku Hoppe Land!!,3DS,2014.0,Action,Nippon Columbia,,
12085,Fantastic Four,PS,1997.0,Action,Acclaim Entertainment,,
12086,Yamaha Supercross,Wii,2009.0,Racing,Zoo Digital Publishing,Coyote Console,E
12087,Petz: Hamsterz Bunch,PSP,2009.0,Simulation,Ubisoft,Ubisoft,E
12088,Higurashi no Naku Koro ni Matsuri: Kakera Asobi,PS2,2007.0,Adventure,Alchemist,,
12089,River City Ransom EX,GBA,2004.0,Action,Atlus,Million,T
12090,Bionicle Heroes,X360,2006.0,Shooter,Eidos Interactive,Traveller's Tales,E10+
12091,San Goku Shi Taisen Ten,DS,2008.0,Strategy,Sega,,
12092,Ant Nation,DS,2009.0,Simulation,Konami Digital Entertainment,Kouyousha,E
12093,Fable: The Lost Chapters,PC,2005.0,Role-Playing,Microsoft Game Studios,Lionhead Studios,M
12094,Fairy Tail: Zelef Kakusei,PSP,2012.0,Action,Unknown,,
12095,Strike Point,PS,1996.0,Simulation,Elite,,
12096,Crazy Taxi 2,DC,2001.0,Racing,Sega,Hitmaker,T
12097,The Sims 2: Seasons,PC,2007.0,Simulation,Electronic Arts,Maxis,T
12098,Dragon Slayer: The Legend of Heroes,SNES,1992.0,Role-Playing,Epoch,,
12099,Street Fighter II': Special Champion Edition (JP weekly sales),GEN,1993.0,Action,Capcom,,
12100,Pizza Delivery Boy,Wii,2010.0,Simulation,Majesco Entertainment,Attractive Games,E
12101,Tom and Jerry in War of the Whiskers,GC,2003.0,Fighting,NewKidCo,,
12102,Keroro RPG: Kishi to Musha to Densetsu no Kaizoku,DS,2010.0,Role-Playing,Namco Bandai Games,,
12103,Famicom Mini: Wrecking Crew,GBA,2004.0,Puzzle,Nintendo,,
12104,Suzumiya Haruhi no Gekidou,Wii,2009.0,Adventure,Kadokawa Shoten,,
12105,Lost Heroes 2,3DS,2015.0,Action,Namco Bandai Games,,
12106,Heavenly Guardian,Wii,2007.0,Shooter,505 Games,Starfish,E
12107,Dynasty Warriors DS: Fighter's Battle,DS,2007.0,Action,Tecmo Koei,Koei,E10+
12108,The Testament of Sherlock Holmes,PC,2012.0,Adventure,Focus Home Interactive,Frogwares,M
12109,Space Hulk: Vengeance of the Blood Angels,PS,1995.0,Shooter,Electronic Arts,,
12110,Robot Alchemic Drive,PS2,2002.0,Action,Enix Corporation,Sandlot,T
12111,Alpha and Omega,DS,2010.0,Action,Unknown,Storm City Games,E
12112,Motor Toon Grand Prix (Japan),PS,1994.0,Racing,Sony Computer Entertainment,,
12113,Dino Master: Dig Discover Duel,DS,2005.0,Strategy,Majesco Entertainment,,
12114,Ken to Mahou to Gakuen Mono. 3,PS3,2010.0,Role-Playing,Acquire,,
12115,Tomb Raider: Legend,DS,2006.0,Action,Eidos Interactive,Human Soft,T
12116,Warhammer: Battle For Atluma,PSP,2006.0,Action,Namco Bandai Games,Sabertooth Games,T
12117,Hikaru no Go: Heian Gensou Ibunroku,PS,2002.0,Adventure,Konami Digital Entertainment,,
12118,Eagle Flight,PS4,2016.0,Adventure,Ubisoft,"Ubisoft, FunHouse",E10+
12119,Operation: Vietnam,DS,2007.0,Shooter,Majesco Entertainment,Coyote Console,T
12120,Samurai Shodown,NG,1993.0,Fighting,SNK,,
12121,OverBlood 2,PS,1998.0,Action,Evolution Games,,
12122,Fighter Maker 2,PS2,2002.0,Fighting,Enterbrain,Enterbrain,T
12123,Lifeline,PS2,2003.0,Adventure,Sony Computer Entertainment,SCEJ,M
12124,Judie no Atelier: Guramnat no Renkinjutsushi,PS2,2002.0,Role-Playing,Gust,,
12125,Dragon Valor,PS,1999.0,Role-Playing,Sony Computer Entertainment,Namco,T
12126,Tokyo Beat Down,DS,2008.0,Action,Success,Success,T
12127,NHL 2005,GC,2004.0,Sports,Electronic Arts,EA Sports,E
12128,Midway Arcade Treasures 3,GC,2005.0,Misc,Midway Games,Midway,E
12129,Microsoft Flight Simulator 2004: A Century of Flight,PC,2003.0,Simulation,Microsoft Game Studios,Microsoft Game Studios,E
12130,"Horrid Henry: The Good, The Bad and The Bugly",3DS,2011.0,Platform,Asylum Entertainment,,
12131,Firefighter F.D.18,PS2,2004.0,Action,Konami Digital Entertainment,,
12132,Anubis II,Wii,2007.0,Platform,Metro 3D,Data Design Interactive,E
12133,Goodbye Deponia,PC,2013.0,Adventure,Daedalic Entertainment,Daedalic Entertainment,
